"cutoff","measure","n_analyses","prop_delta_i2_gt0","prop_abs_delta_i2_le_5","prop_abs_delta_i2_le_10","median_delta_i2","mean_delta_i2","prop_sig_change","prop_sign_flip"
1950,"MD",5,0.6,0.8,0.8,0.481131297211178,-1.59568878304726,0,0
1950,"RR",201,0.306532663316583,0.78391959798995,0.904522613065327,0,0.653831363023995,0.0753768844221105,0.0904522613065327
1952,"MD",5,0.6,0.8,0.8,0.481131297211178,-1.59568878304726,0,0
1952,"RR",205,0.300492610837438,0.788177339901478,0.9064039408867,0,0.640947986412685,0.0738916256157636,0.0935960591133005
1954,"MD",5,0.6,0.8,0.8,0.481131297211178,-1.59568878304726,0,0
1954,"RR",211,0.30622009569378,0.779904306220096,0.909090909090909,0,0.706224764220064,0.0717703349282297,0.0909090909090909
1956,"MD",5,0.6,0.8,0.8,0.481131297211178,-1.59568878304726,0,0
1956,"RR",229,0.308370044052863,0.73568281938326,0.889867841409692,0,0.65203652010584,0.0748898678414097,0.0837004405286344
1958,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1958,"RR",237,0.31063829787234,0.74468085106383,0.893617021276596,0,0.631028500108209,0.0723404255319149,0.0808510638297872
1960,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1960,"RR",237,0.28936170212766,0.719148936170213,0.868085106382979,0,-1.05442695678014,0.0765957446808511,0.0808510638297872
1962,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1962,"RR",238,0.283898305084746,0.716101694915254,0.860169491525424,0,-1.62089334545717,0.076271186440678,0.0805084745762712
1964,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1964,"RR",239,0.286919831223629,0.713080168776371,0.848101265822785,0,-1.45887956990229,0.0759493670886076,0.080168776371308
1966,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1966,"RR",246,0.290983606557377,0.709016393442623,0.840163934426229,0,-1.04596011511064,0.0819672131147541,0.0819672131147541
1968,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1968,"RR",260,0.294573643410853,0.709302325581395,0.802325581395349,0,-2.05241029332289,0.0736434108527132,0.0775193798449612
1970,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1970,"RR",261,0.297297297297297,0.71042471042471,0.803088803088803,0,-2.03005428419381,0.0733590733590734,0.0772200772200772
1972,"MD",6,0.666666666666667,0.833333333333333,0.833333333333333,0.321455483773903,-1.30277737414994,0,0
1972,"RR",271,0.29368029739777,0.721189591078067,0.810408921933085,0,-2.09301583414943,0.0706319702602231,0.0743494423791822
1974,"MD",7,0.571428571428571,0.714285714285714,0.714285714285714,0.161779670336628,-13.7040626466615,0,0
1974,"RR",284,0.304964539007092,0.723404255319149,0.815602836879433,0,-1.55705413388146,0.0709219858156028,0.0709219858156028
1976,"MD",7,0.571428571428571,0.714285714285714,0.714285714285714,0.161779670336628,-13.7040626466615,0,0
1976,"RR",294,0.308219178082192,0.726027397260274,0.815068493150685,0,-1.59608747932502,0.0684931506849315,0.0719178082191781
1978,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1978,"RR",361,0.268361581920904,0.754237288135593,0.838983050847458,0,-0.742955283872378,0.0932203389830508,0.0819209039548023
1980,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1980,"RR",372,0.265753424657534,0.758904109589041,0.835616438356164,0,-0.807556891647534,0.0904109589041096,0.0821917808219178
1982,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1982,"RR",414,0.266009852216749,0.75615763546798,0.820197044334975,0,-1.0684238352813,0.0862068965517241,0.0812807881773399
1984,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1984,"OR",1,0,1,1,0,0,0,0
1984,"RR",453,0.261261261261261,0.772522522522523,0.826576576576577,0,-1.16903383042608,0.0810810810810811,0.0990990990990991
1986,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.1336839854752,0.0909090909090909,0
1986,"OR",2,0,1,1,0,0,0,0
1986,"RR",585,0.25,0.772569444444444,0.828125,0,-1.24812474867146,0.0694444444444444,0.0920138888888889
1988,"MD",11,0.363636363636364,0.727272727272727,0.727272727272727,0,-15.0970488265984,0.0909090909090909,0
1988,"OR",2,0,1,1,0,0,0,0
